step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.137,2495.010,0.092,2.654,-99.582,1.811,99.634,3.213,702612.6,702.61,39760.00,14160.00,1.803,7.328,1.775,-1.779,3.686,-3.695,0.165,Fuzzy
2,0.1000,0.265,2490.042,0.181,2.480,-99.169,1.725,99.215,3.021,701965.4,701.97,39748.48,14148.48,1.802,7.151,4.146,-4.157,4.595,-4.613,0.321,Fuzzy
3,0.1500,0.385,2485.093,0.265,2.298,-98.760,1.632,98.800,2.819,701329.0,701.33,39736.98,14136.98,1.801,6.828,6.918,-6.943,5.374,-5.412,0.467,Fuzzy
4,0.2000,0.495,2480.165,0.344,2.098,-98.357,1.521,98.392,2.591,700707.4,700.71,39725.49,14125.49,1.800,6.339,10.543,-10.610,7.640,-7.758,0.602,Fuzzy
5,0.2500,0.594,2475.257,0.417,1.856,-97.973,1.437,98.002,2.347,700115.8,700.12,39714.01,14114.01,1.799,5.648,13.439,-16.185,-10.944,-12.472,0.725,Fuzzy
6,0.3000,0.679,2470.368,0.492,1.540,-97.611,1.561,97.636,2.193,699559.9,699.56,39702.54,14102.53,1.798,4.661,9.097,-24.973,-6.145,-19.443,0.838,Fuzzy
7,0.3500,0.746,2465.495,0.572,1.132,-97.285,1.640,97.306,1.992,699059.3,699.06,39691.07,14091.07,1.797,3.201,6.635,-37.877,-3.851,-25.779,0.940,Fuzzy
8,0.4000,0.792,2460.639,0.655,0.709,-96.966,1.699,96.983,1.841,698576.4,698.58,39679.61,14079.61,1.797,1.530,5.054,-52.253,-2.681,-26.589,1.028,Fuzzy
9,0.4500,0.827,2455.799,0.742,0.874,-96.637,1.753,96.656,1.958,698080.4,698.08,39668.17,14068.17,1.796,2.436,3.777,-46.358,-2.550,26.720,1.111,Fuzzy
10,0.5000,0.882,2450.975,0.831,1.301,-96.321,1.808,96.347,2.228,697606.4,697.61,39656.73,14056.73,1.795,4.158,2.484,-31.999,-2.486,25.107,1.211,Fuzzy
11,0.5500,0.957,2446.167,0.923,1.682,-95.983,1.866,96.016,2.512,697110.0,697.11,39645.29,14045.29,1.794,5.358,1.193,-20.260,-2.412,17.139,1.329,Fuzzy
12,0.6000,1.048,2441.378,1.017,1.963,-95.604,1.924,95.644,2.749,696559.5,696.56,39633.87,14033.87,1.794,6.119,-0.008,-12.837,-1.962,10.507,1.461,Fuzzy
13,0.6500,1.152,2436.607,1.115,2.178,-95.207,1.988,95.252,2.949,695985.1,695.99,39622.46,14022.46,1.793,6.596,-1.382,-8.286,-3.028,6.609,1.603,Fuzzy
14,0.7000,1.265,2431.857,1.216,2.360,-94.804,2.069,94.856,3.138,695406.6,695.41,39611.05,14011.05,1.792,6.879,-3.428,-5.202,-4.157,4.864,1.755,Fuzzy
15,0.7500,1.388,2427.127,1.322,2.530,-94.401,2.162,94.460,3.328,694831.8,694.83,39599.66,13999.66,1.791,7.009,-6.018,-2.677,-5.004,4.146,1.917,Fuzzy
16,0.8000,1.518,2422.417,1.433,2.689,-93.998,2.272,94.064,3.520,694261.6,694.26,39588.27,13988.27,1.790,7.015,-9.375,-0.676,-7.134,3.073,2.088,Fuzzy
17,0.8500,1.656,2417.727,1.550,2.834,-93.601,2.424,93.675,3.729,693701.2,693.70,39576.89,13976.89,1.789,6.943,-14.527,0.819,-11.591,2.937,2.268,Fuzzy
18,0.9000,1.802,2413.056,1.674,2.987,-93.218,2.420,93.298,3.844,691729.5,691.73,39565.54,13965.54,1.784,6.846,-14.353,2.745,12.576,3.978,2.459,Fuzzy
19,0.9500,1.955,2408.405,1.790,3.151,-92.829,2.266,92.910,3.881,689562.2,689.56,39554.21,13954.22,1.779,6.698,-9.115,5.144,7.365,4.654,2.651,Fuzzy
20,1.0000,2.117,2403.773,1.901,3.324,-92.437,2.160,92.522,3.964,687376.7,687.38,39542.93,13942.93,1.774,6.431,-5.864,7.979,4.818,5.846,2.845,Fuzzy
21,1.0500,2.288,2399.161,2.007,3.522,-92.051,2.073,92.141,4.086,685221.9,685.22,39531.68,13931.68,1.769,5.993,-3.492,11.945,3.871,8.607,3.043,Fuzzy
22,1.1000,2.470,2394.568,2.109,3.769,-91.680,1.999,91.779,4.266,683145.5,683.15,39520.46,13920.47,1.764,5.301,-1.708,18.109,2.761,13.736,3.248,Fuzzy
23,1.1500,2.666,2389.993,2.207,4.095,-91.338,1.942,91.450,4.532,681220.3,681.22,39509.28,13909.28,1.760,4.240,-0.595,27.689,1.582,21.530,3.461,Fuzzy
24,1.2000,2.881,2385.433,2.303,4.498,-91.034,1.900,91.165,4.883,679511.0,679.51,39498.13,13898.13,1.756,2.735,-0.016,40.927,0.863,26.633,3.688,Fuzzy
25,1.2500,3.116,2380.889,2.397,4.820,-90.730,1.864,90.877,5.168,677821.3,677.82,39487.01,13887.01,1.752,1.694,0.368,52.153,0.807,-26.573,3.931,Fuzzy
26,1.3000,3.347,2376.361,2.489,4.417,-90.429,1.831,90.555,4.781,676133.3,676.13,39475.91,13875.91,1.748,2.974,0.903,37.958,1.390,-26.567,4.171,Fuzzy
27,1.3500,3.558,2371.847,2.580,4.020,-90.127,1.788,90.234,4.400,674463.4,674.46,39464.84,13864.84,1.744,4.308,1.789,25.013,2.094,-21.126,4.395,Fuzzy
28,1.4000,3.751,2367.349,2.668,3.715,-89.788,1.731,89.882,4.098,672600.0,672.60,39453.80,13853.80,1.740,5.206,3.184,16.143,3.137,-13.141,4.603,Fuzzy
29,1.4500,3.930,2362.868,2.753,3.486,-89.427,1.660,89.510,3.862,670607.1,670.61,39442.79,13842.79,1.735,5.778,5.135,10.624,4.054,-8.051,4.798,Fuzzy
30,1.5000,4.100,2358.406,2.834,3.304,-89.058,1.578,89.134,3.661,668567.9,668.57,39431.82,13831.82,1.730,6.141,7.629,7.103,5.397,-5.461,4.984,Fuzzy
31,1.5500,4.261,2353.962,2.910,3.142,-88.691,1.469,88.759,3.469,666533.9,666.53,39420.88,13820.87,1.725,6.370,11.277,4.548,8.217,-4.416,5.160,Fuzzy
32,1.6000,4.414,2349.537,2.981,2.990,-88.331,1.445,88.394,3.321,664544.2,664.54,39409.96,13809.96,1.721,6.523,12.088,2.369,-9.973,-3.757,5.327,Fuzzy
33,1.6500,4.560,2345.129,3.057,2.848,-87.967,1.566,88.027,3.251,662537.6,662.54,39399.09,13799.09,1.716,6.624,7.914,0.635,-6.343,-2.799,5.490,Fuzzy
34,1.7000,4.699,2340.740,3.137,2.718,-87.600,1.656,87.658,3.183,660512.7,660.51,39388.24,13788.24,1.711,6.659,5.078,-0.678,-4.695,-2.635,5.650,Fuzzy
35,1.7500,4.832,2336.369,3.222,2.577,-87.236,1.736,87.291,3.107,658504.4,658.50,39377.43,13777.43,1.707,6.613,2.772,-2.373,-3.936,-3.596,5.808,Fuzzy
36,1.8000,4.957,2332.017,3.311,2.426,-86.875,1.805,86.928,3.024,656516.8,656.52,39366.66,13766.66,1.702,6.456,0.958,-4.503,-2.923,-4.304,5.961,Fuzzy
37,1.8500,5.074,2327.682,3.402,2.270,-86.517,1.859,86.567,2.934,654543.7,654.54,39355.91,13755.91,1.697,6.174,-0.288,-6.944,-2.103,-5.019,6.109,Fuzzy
38,1.9000,5.184,2323.365,3.497,2.100,-86.165,1.914,86.211,2.842,652599.9,652.60,39345.20,13745.20,1.693,5.743,-1.595,-10.112,-2.757,-6.980,6.253,Fuzzy
39,1.9500,5.284,2319.065,3.594,1.898,-85.822,1.976,85.866,2.740,650709.8,650.71,39334.52,13734.52,1.688,5.107,-3.161,-14.736,-3.154,-10.744,6.390,Fuzzy
40,2.0000,5.373,2314.782,3.694,1.640,-85.499,2.038,85.539,2.616,648917.4,648.92,39323.87,13723.87,1.684,4.164,-4.805,-21.851,-3.219,-16.475,6.520,Fuzzy
41,2.0500,5.446,2310.515,3.798,1.299,-85.210,2.097,85.246,2.467,647303.9,647.30,39313.24,13713.24,1.680,2.764,-6.407,-32.631,-3.382,-24.536,6.640,Fuzzy
42,2.1000,5.502,2306.261,3.904,0.918,-84.943,2.155,84.975,2.342,645825.5,645.83,39302.64,13702.64,1.677,0.751,-8.113,-45.688,-3.764,-26.428,6.746,Fuzzy
43,2.1500,5.548,2302.021,4.013,1.068,-84.672,2.160,84.707,2.409,644327.6,644.33,39292.07,13692.07,1.673,1.579,-8.350,-40.260,4.367,26.560,6.847,Fuzzy
44,2.2000,5.610,2297.793,4.119,1.444,-84.407,2.098,84.445,2.546,642865.8,642.87,39281.52,13681.52,1.670,3.269,-6.439,-27.486,3.659,23.174,6.960,Fuzzy
45,2.2500,5.691,2293.580,4.222,1.747,-84.110,2.038,84.153,2.684,641255.4,641.26,39271.00,13671.00,1.666,4.401,-4.746,-18.138,3.304,14.562,7.086,Fuzzy
46,2.3000,5.784,2289.383,4.323,1.971,-83.789,1.976,83.835,2.791,639502.6,639.50,39260.50,13660.50,1.662,5.156,-3.067,-12.189,3.195,9.150,7.221,Fuzzy
47,2.3500,5.887,2285.201,4.420,2.147,-83.457,1.916,83.507,2.878,637690.2,637.69,39250.03,13650.03,1.658,5.666,-1.518,-8.393,2.784,6.087,7.362,Fuzzy
48,2.4000,5.998,2281.037,4.515,2.298,-83.122,1.863,83.175,2.959,635859.7,635.86,39239.59,13639.59,1.654,6.011,-0.254,-5.731,2.137,4.448,7.507,Fuzzy
49,2.4500,6.117,2276.889,4.607,2.440,-82.788,1.814,82.843,3.041,634031.5,634.03,39229.18,13629.18,1.649,6.229,0.861,-3.544,2.526,3.983,7.657,Fuzzy
50,2.5000,6.242,2272.758,4.696,2.576,-82.455,1.754,82.514,3.116,632215.8,632.22,39218.80,13618.81,1.645,6.336,2.428,-1.678,3.456,3.264,7.811,Fuzzy
51,2.5500,6.374,2268.644,4.782,2.701,-82.124,1.683,82.186,3.182,630408.8,630.41,39208.46,13608.46,1.641,6.352,4.419,-0.254,4.205,2.344,7.968,Fuzzy
52,2.6000,6.512,2264.546,4.864,2.818,-81.795,1.607,81.859,3.244,628611.9,628.61,39198.14,13598.14,1.636,6.300,6.741,0.922,4.951,2.627,8.128,Fuzzy
53,2.6500,6.656,2260.464,4.942,2.945,-81.471,1.516,81.538,3.313,626843.1,626.84,39187.85,13587.85,1.632,6.186,9.773,2.491,6.960,3.440,8.290,Fuzzy
