step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.000,1397.603,0.000,-0.006,-47.897,0.000,47.897,0.006,460359.8,460.36,39592.45,13992.44,1.186,0.399,0.000,-0.028,-0.102,-0.238,0.000,Hybrid
2,0.1000,-0.001,1395.210,0.000,-0.013,-47.796,0.000,47.796,0.013,459250.0,459.25,39584.91,13984.91,1.184,0.397,0.000,-0.054,0.102,-0.234,0.001,Hybrid
3,0.1500,-0.001,1392.823,0.000,-0.019,-47.696,0.000,47.696,0.019,458154.7,458.15,39577.39,13977.39,1.181,0.394,0.000,-0.080,-0.101,-0.229,0.001,Hybrid
4,0.2000,-0.003,1390.441,0.000,-0.026,-47.597,0.000,47.597,0.026,457073.5,457.07,39569.89,13969.89,1.178,0.389,0.000,-0.104,0.100,-0.224,0.003,Hybrid
5,0.2500,-0.004,1388.063,0.000,-0.032,-47.500,0.000,47.500,0.032,456006.4,456.01,39562.40,13962.40,1.176,0.383,0.000,-0.127,-0.098,-0.218,0.004,Hybrid
6,0.3000,-0.006,1385.691,0.000,-0.038,-47.404,0.000,47.404,0.038,454953.3,454.95,39554.94,13954.94,1.173,0.376,0.000,-0.148,0.097,-0.211,0.006,Hybrid
7,0.3500,-0.008,1383.323,0.000,-0.043,-47.309,0.000,47.309,0.043,453913.8,453.91,39547.49,13947.49,1.171,0.368,0.000,-0.168,-0.095,-0.204,0.008,Hybrid
8,0.4000,-0.010,1380.960,0.000,-0.049,-47.215,0.000,47.215,0.049,452887.9,452.89,39540.05,13940.06,1.168,0.359,0.000,-0.187,0.093,-0.197,0.010,Hybrid
9,0.4500,-0.013,1378.601,0.000,-0.054,-47.123,0.000,47.123,0.054,451875.5,451.88,39532.64,13932.64,1.166,0.349,0.000,-0.205,-0.090,-0.189,0.013,Hybrid
10,0.5000,-0.016,1376.247,0.000,-0.060,-47.031,0.000,47.031,0.060,450876.1,450.88,39525.24,13925.24,1.164,0.339,0.000,-0.221,0.087,-0.180,0.016,Hybrid
11,0.5500,-0.019,1373.898,0.000,-0.065,-46.941,0.000,46.941,0.065,449890.0,449.89,39517.86,13917.86,1.161,0.327,0.000,-0.236,-0.085,-0.172,0.019,Hybrid
12,0.6000,-0.022,1371.553,0.000,-0.070,-46.852,0.000,46.852,0.070,448916.6,448.92,39510.49,13910.49,1.159,0.315,0.000,-0.250,0.082,-0.163,0.022,Hybrid
13,0.6500,-0.026,1369.213,0.000,-0.074,-46.765,0.000,46.765,0.074,447956.0,447.96,39503.14,13903.14,1.157,0.302,0.000,-0.262,-0.078,-0.153,0.026,Hybrid
14,0.7000,-0.029,1366.877,0.000,-0.079,-46.678,0.000,46.678,0.079,447008.0,447.01,39495.80,13895.81,1.155,0.289,0.002,-0.272,0.075,-0.144,0.029,Hybrid
15,0.7500,-0.033,1364.545,0.000,-0.083,-46.592,0.000,46.592,0.083,446072.4,446.07,39488.49,13888.49,1.152,0.275,-0.002,-0.282,0.072,-0.135,0.033,Hybrid
16,0.8000,-0.038,1362.217,0.000,-0.087,-46.508,0.000,46.508,0.087,445149.0,445.15,39481.18,13881.18,1.150,0.260,0.002,-0.290,-0.068,-0.125,0.038,Hybrid
17,0.8500,-0.042,1359.894,0.000,-0.090,-46.425,0.000,46.425,0.090,444237.8,444.24,39473.89,13873.89,1.148,0.245,-0.003,-0.297,0.065,-0.115,0.042,Hybrid
18,0.9000,-0.047,1357.575,0.000,-0.094,-46.342,0.000,46.343,0.094,443338.6,443.34,39466.62,13866.62,1.146,0.231,0.004,-0.302,0.060,-0.105,0.047,Hybrid
19,0.9500,-0.051,1355.260,0.000,-0.097,-46.261,0.000,46.261,0.097,442451.1,442.45,39459.36,13859.36,1.144,0.216,-0.001,-0.307,-0.056,-0.096,0.051,Hybrid
20,1.0000,-0.056,1352.949,0.000,-0.100,-46.181,0.000,46.181,0.100,441575.4,441.58,39452.11,13852.11,1.142,0.200,-0.002,-0.310,0.053,-0.086,0.056,Hybrid
21,1.0500,-0.061,1350.642,0.000,-0.102,-46.102,0.000,46.102,0.102,440711.4,440.71,39444.88,13844.88,1.140,0.185,0.003,-0.312,0.048,-0.076,0.061,Hybrid
22,1.1000,-0.067,1348.339,0.000,-0.105,-46.024,0.000,46.024,0.105,439858.4,439.86,39437.66,13837.66,1.138,0.169,0.001,-0.313,-0.045,-0.067,0.067,Hybrid
23,1.1500,-0.072,1346.040,0.000,-0.107,-45.947,0.000,45.947,0.107,439016.9,439.02,39430.46,13830.46,1.136,0.153,-0.004,-0.313,-0.040,-0.057,0.072,Hybrid
24,1.2000,-0.077,1343.744,0.000,-0.109,-45.871,0.000,45.871,0.109,438186.4,438.19,39423.27,13823.27,1.134,0.137,-0.001,-0.311,0.037,-0.048,0.077,Hybrid
25,1.2500,-0.083,1341.453,0.000,-0.111,-45.795,0.000,45.796,0.111,437367.2,437.37,39416.09,13816.09,1.132,0.122,0.003,-0.309,0.032,-0.039,0.083,Hybrid
26,1.3000,-0.088,1339.165,0.000,-0.112,-45.721,0.000,45.721,0.112,436558.6,436.56,39408.93,13808.93,1.130,0.107,0.001,-0.306,-0.029,-0.030,0.088,Hybrid
27,1.3500,-0.094,1336.880,0.000,-0.113,-45.648,0.000,45.648,0.113,435760.6,435.76,39401.78,13801.78,1.128,0.091,-0.001,-0.302,-0.024,-0.021,0.094,Hybrid
28,1.4000,-0.100,1334.600,0.000,-0.114,-45.576,0.000,45.576,0.114,434972.9,434.97,39394.64,13794.64,1.126,0.077,-0.002,-0.297,0.021,-0.012,0.100,Hybrid
29,1.4500,-0.105,1332.323,0.000,-0.115,-45.504,0.000,45.504,0.115,434196.2,434.20,39387.52,13787.52,1.125,0.063,0.000,-0.291,0.017,-0.004,0.105,Hybrid
30,1.5000,-0.111,1330.049,0.000,-0.115,-45.434,0.000,45.434,0.115,433429.7,433.43,39380.41,13780.41,1.123,0.048,0.001,-0.284,0.013,0.004,0.111,Hybrid
31,1.5500,-0.117,1327.779,0.000,-0.116,-45.364,0.000,45.364,0.116,432673.3,432.67,39373.31,13773.31,1.121,0.034,0.002,-0.277,-0.010,0.012,0.117,Hybrid
32,1.6000,-0.123,1325.513,0.000,-0.116,-45.296,0.000,45.296,0.116,431926.8,431.93,39366.23,13766.22,1.119,0.020,0.001,-0.269,-0.006,0.019,0.123,Hybrid
33,1.6500,-0.128,1323.250,0.000,-0.115,-45.228,0.000,45.228,0.115,431188.1,431.19,39359.15,13759.15,1.118,0.000,0.001,-0.256,0.000,0.087,0.128,Hybrid
34,1.7000,-0.134,1320.990,0.000,-0.114,-45.161,0.000,45.161,0.114,430465.8,430.47,39352.09,13752.09,1.116,0.000,0.001,-0.241,0.000,0.086,0.134,Hybrid
35,1.7500,-0.140,1318.734,0.000,-0.113,-45.095,0.000,45.095,0.113,429753.1,429.75,39345.04,13745.04,1.114,0.000,0.001,-0.226,0.000,0.085,0.140,Hybrid
36,1.8000,-0.146,1316.481,0.000,-0.112,-45.029,0.000,45.029,0.112,429059.3,429.06,39338.00,13738.00,1.113,0.028,0.000,-0.211,-0.008,0.091,0.146,Hybrid
37,1.8500,-0.151,1314.231,0.000,-0.111,-44.965,0.000,44.965,0.111,428367.1,428.37,39330.97,13730.97,1.111,0.034,0.000,-0.197,-0.009,0.091,0.151,Hybrid
38,1.9000,-0.157,1311.984,0.000,-0.110,-44.901,0.000,44.901,0.110,427685.1,427.69,39323.95,13723.95,1.109,0.044,-0.002,-0.182,-0.012,0.092,0.157,Hybrid
39,1.9500,-0.162,1309.741,0.000,-0.108,-44.838,0.000,44.838,0.108,427012.6,427.01,39316.95,13716.95,1.108,0.056,-0.003,-0.168,-0.015,0.094,0.162,Hybrid
40,2.0000,-0.167,1307.500,0.000,-0.107,-44.776,0.000,44.776,0.107,426347.0,426.35,39309.95,13709.95,1.106,0.063,-0.004,-0.154,0.018,0.093,0.167,Hybrid
41,2.0500,-0.173,1305.263,0.000,-0.105,-44.715,0.000,44.715,0.105,425691.1,425.69,39302.97,13702.97,1.105,0.071,-0.002,-0.141,0.020,0.093,0.173,Hybrid
42,2.1000,-0.178,1303.029,0.000,-0.104,-44.654,0.000,44.654,0.104,425042.3,425.04,39296.00,13696.00,1.103,0.077,0.000,-0.128,0.020,0.093,0.178,Hybrid
43,2.1500,-0.183,1300.798,0.000,-0.102,-44.594,0.000,44.594,0.102,424402.4,424.40,39289.03,13689.03,1.102,0.084,0.003,-0.115,0.022,0.092,0.183,Hybrid
44,2.2000,-0.188,1298.570,0.000,-0.100,-44.535,0.000,44.535,0.100,423770.0,423.77,39282.08,13682.08,1.101,0.088,0.004,-0.103,-0.025,0.091,0.188,Hybrid
45,2.2500,-0.193,1296.344,0.000,-0.099,-44.476,0.000,44.476,0.099,423145.7,423.15,39275.14,13675.14,1.099,0.095,0.001,-0.091,-0.025,0.089,0.193,Hybrid
46,2.3000,-0.198,1294.122,0.000,-0.097,-44.419,0.000,44.419,0.097,422529.3,422.53,39268.21,13668.21,1.098,0.099,-0.002,-0.079,-0.025,0.088,0.198,Hybrid
47,2.3500,-0.203,1291.902,0.000,-0.095,-44.362,0.000,44.362,0.095,421920.8,421.92,39261.29,13661.29,1.096,0.103,-0.004,-0.068,-0.026,0.086,0.203,Hybrid
48,2.4000,-0.208,1289.686,0.000,-0.093,-44.305,0.000,44.305,0.093,421320.3,421.32,39254.38,13654.38,1.095,0.105,-0.002,-0.058,0.028,0.085,0.208,Hybrid
49,2.4500,-0.212,1287.472,0.000,-0.092,-44.250,0.000,44.250,0.092,420726.6,420.73,39247.47,13647.47,1.094,0.108,0.001,-0.047,0.028,0.083,0.212,Hybrid
50,2.5000,-0.217,1285.261,0.000,-0.090,-44.195,0.000,44.195,0.090,420141.2,420.14,39240.58,13640.58,1.092,0.110,0.004,-0.038,0.029,0.081,0.217,Hybrid
51,2.5500,-0.221,1283.052,0.000,-0.088,-44.140,0.000,44.141,0.088,419562.7,419.56,39233.70,13633.70,1.091,0.112,0.002,-0.028,-0.030,0.079,0.221,Hybrid
52,2.6000,-0.226,1280.847,0.000,-0.086,-44.087,0.000,44.087,0.086,418990.9,418.99,39226.82,13626.83,1.090,0.112,-0.002,-0.020,-0.029,0.076,0.226,Hybrid
