step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.000,1397.603,0.000,-0.008,-47.903,0.000,47.903,0.008,455913.6,455.91,39592.52,13992.52,1.175,0.499,0.000,-0.037,-0.096,-0.317,0.000,Fuzzy
2,0.1000,-0.001,1395.210,0.000,-0.016,-47.807,0.000,47.807,0.016,454692.5,454.69,39585.05,13985.05,1.172,0.496,0.000,-0.071,0.096,-0.301,0.001,Fuzzy
3,0.1500,-0.002,1392.822,0.000,-0.024,-47.713,0.000,47.713,0.024,453490.3,453.49,39577.61,13977.61,1.169,0.492,0.000,-0.103,-0.095,-0.286,0.002,Fuzzy
4,0.2000,-0.003,1390.438,0.000,-0.032,-47.620,0.000,47.620,0.032,452306.7,452.31,39570.18,13970.18,1.166,0.486,0.000,-0.132,0.094,-0.271,0.003,Fuzzy
5,0.2500,-0.005,1388.060,0.000,-0.039,-47.529,0.000,47.529,0.039,451141.3,451.14,39562.78,13962.78,1.163,0.478,0.000,-0.159,-0.093,-0.256,0.005,Fuzzy
6,0.3000,-0.007,1385.686,0.000,-0.046,-47.439,0.000,47.439,0.046,449994.0,449.99,39555.39,13955.39,1.161,0.470,0.000,-0.183,0.091,-0.240,0.007,Fuzzy
7,0.3500,-0.010,1383.316,0.000,-0.053,-47.351,0.000,47.351,0.053,448864.3,448.86,39548.02,13948.03,1.158,0.460,0.000,-0.205,-0.089,-0.225,0.010,Fuzzy
8,0.4000,-0.013,1380.950,0.000,-0.060,-47.263,0.000,47.263,0.060,447751.9,447.75,39540.68,13940.68,1.155,0.449,0.000,-0.225,0.087,-0.210,0.013,Fuzzy
9,0.4500,-0.016,1378.589,0.000,-0.066,-47.177,0.000,47.177,0.066,446656.8,446.66,39533.35,13933.35,1.153,0.437,0.000,-0.243,-0.085,-0.196,0.016,Fuzzy
10,0.5000,-0.019,1376.233,0.000,-0.072,-47.093,0.000,47.093,0.072,445578.5,445.58,39526.04,13926.03,1.150,0.425,0.000,-0.258,0.082,-0.181,0.019,Fuzzy
11,0.5500,-0.023,1373.880,0.000,-0.078,-47.009,0.000,47.009,0.078,444516.8,444.52,39518.74,13918.74,1.147,0.412,0.000,-0.272,-0.080,-0.167,0.023,Fuzzy
