step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,-0.001,1597.255,0.000,-0.028,-54.809,0.000,54.809,0.028,527530.3,527.53,39591.33,13991.33,1.359,1.195,0.000,-0.191,-0.353,-1.167,0.001,Hybrid
2,0.1000,-0.003,1594.519,0.000,-0.055,-54.621,0.000,54.621,0.055,524684.1,524.68,39582.71,13982.71,1.352,1.180,0.000,-0.376,0.350,-1.143,0.003,Hybrid
3,0.1500,-0.006,1591.793,0.000,-0.081,-54.437,0.000,54.437,0.081,521889.4,521.89,39574.13,13974.13,1.345,1.156,0.000,-0.553,-0.343,-1.108,0.006,Hybrid
4,0.2000,-0.011,1589.075,0.000,-0.107,-54.257,0.000,54.257,0.107,519144.7,519.14,39565.60,13965.60,1.339,1.124,0.000,-0.722,0.335,-1.065,0.011,Hybrid
5,0.2500,-0.017,1586.367,0.000,-0.131,-54.080,0.000,54.080,0.131,516449.3,516.45,39557.11,13957.11,1.332,1.084,0.000,-0.881,-0.324,-1.013,0.017,Hybrid
6,0.3000,-0.024,1583.667,0.000,-0.154,-53.906,0.000,53.906,0.154,513802.3,513.80,39548.67,13948.67,1.325,1.035,0.000,-1.028,0.311,-0.954,0.024,Hybrid
7,0.3500,-0.032,1580.976,0.000,-0.176,-53.735,0.000,53.735,0.176,511202.7,511.20,39540.27,13940.27,1.319,0.980,0.000,-1.164,-0.296,-0.888,0.032,Hybrid
8,0.4000,-0.042,1578.294,0.000,-0.196,-53.567,0.000,53.567,0.196,508649.8,508.65,39531.91,13931.91,1.313,0.919,0.000,-1.287,0.279,-0.816,0.042,Hybrid
9,0.4500,-0.052,1575.620,0.000,-0.215,-53.402,0.000,53.403,0.215,506142.8,506.14,39523.59,13923.60,1.307,0.851,0.000,-1.396,-0.260,-0.740,0.052,Hybrid
10,0.5000,-0.063,1572.954,0.000,-0.232,-53.241,0.000,53.241,0.232,503681.1,503.68,39515.32,13915.32,1.300,0.779,0.000,-1.492,0.239,-0.659,0.063,Hybrid
