step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,0.000,1397.600,0.000,-0.007,-47.990,0.000,47.990,0.007,387677.7,387.68,39593.64,13993.64,0.999,0.499,0.000,-0.031,-0.096,-0.319,0.000,Neural
2,0.1000,-0.001,1395.201,0.000,-0.014,-47.979,0.000,47.979,0.014,387588.9,387.59,39587.29,13987.29,0.999,0.497,0.000,-0.061,0.096,-0.306,0.001,Neural
3,0.1500,-0.002,1392.802,0.000,-0.021,-47.969,0.000,47.969,0.021,387497.8,387.50,39580.93,13980.93,0.999,0.493,0.000,-0.088,-0.095,-0.292,0.002,Neural
4,0.2000,-0.003,1390.404,0.000,-0.027,-47.959,0.000,47.959,0.027,387404.0,387.40,39574.58,13974.58,0.999,0.488,0.000,-0.114,0.094,-0.279,0.003,Neural
5,0.2500,-0.004,1388.006,0.000,-0.034,-47.949,0.000,47.949,0.034,387308.7,387.31,39568.23,13968.23,0.999,0.481,0.000,-0.138,-0.093,-0.266,0.004,Neural
6,0.3000,-0.006,1385.609,0.000,-0.040,-47.939,0.000,47.939,0.040,387211.2,387.21,39561.88,13961.88,0.998,0.474,0.000,-0.160,0.092,-0.252,0.006,Neural
7,0.3500,-0.008,1383.212,0.000,-0.046,-47.929,0.000,47.929,0.046,387111.3,387.11,39555.54,13955.54,0.998,0.465,0.000,-0.180,-0.090,-0.238,0.008,Neural
8,0.4000,-0.011,1380.816,0.000,-0.052,-47.918,0.000,47.919,0.052,387010.4,387.01,39549.19,13949.19,0.998,0.456,0.000,-0.198,0.088,-0.225,0.011,Neural
9,0.4500,-0.014,1378.420,0.000,-0.058,-47.909,0.000,47.909,0.058,386907.9,386.91,39542.84,13942.84,0.998,0.445,0.000,-0.215,-0.086,-0.212,0.014,Neural
10,0.5000,-0.017,1376.025,0.000,-0.063,-47.899,0.000,47.899,0.063,386804.6,386.80,39536.50,13936.50,0.998,0.434,0.000,-0.230,0.084,-0.198,0.017,Neural
