step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
1,0.0500,13.255,1796.412,-1.144,7.063,-71.524,1.099,71.880,7.148,746172.9,746.17,39197.21,13597.21,1.942,5.713,-0.501,-0.475,-2.654,-2.517,13.305,Fuzzy
2,0.1000,13.606,1792.848,-1.086,6.959,-71.056,1.212,71.406,7.063,739690.1,739.69,39185.04,13585.04,1.926,5.660,-0.985,-0.934,-2.636,-2.499,13.649,Fuzzy
3,0.1500,13.951,1789.306,-1.022,6.856,-70.596,1.323,70.940,6.983,733320.8,733.32,39172.97,13572.97,1.910,5.575,-1.448,-1.374,-2.590,-2.456,13.989,Fuzzy
4,0.2000,14.292,1785.788,-0.954,6.757,-70.143,1.431,70.482,6.907,727060.3,727.06,39161.00,13561.00,1.894,5.458,-1.886,-1.789,-2.522,-2.391,14.323,Fuzzy
5,0.2500,14.627,1782.292,-0.879,6.661,-69.697,1.535,70.032,6.836,720904.8,720.90,39149.14,13549.14,1.879,5.313,-2.296,-2.177,-2.434,-2.307,14.653,Fuzzy
6,0.3000,14.958,1778.818,-0.800,6.569,-69.259,1.635,69.589,6.769,714851.3,714.85,39137.38,13537.38,1.864,5.140,-2.676,-2.537,-2.331,-2.207,14.979,Fuzzy
7,0.3500,15.284,1775.366,-0.716,6.481,-68.827,1.731,69.153,6.709,708896.2,708.90,39125.71,13525.71,1.849,4.942,-3.023,-2.865,-2.213,-2.095,15.301,Fuzzy
8,0.4000,15.606,1771.935,-0.627,6.399,-68.402,1.821,68.725,6.653,703037.3,703.04,39114.14,13514.15,1.834,4.722,-3.337,-3.162,-2.085,-1.971,15.618,Fuzzy
9,0.4500,15.924,1768.526,-0.534,6.321,-67.983,1.906,68.303,6.602,697272.6,697.27,39102.67,13502.67,1.819,4.482,-3.618,-3.427,-1.947,-1.838,15.933,Fuzzy
10,0.5000,16.238,1765.137,-0.437,6.249,-67.571,1.985,67.888,6.557,691600.1,691.60,39091.29,13491.29,1.805,4.223,-3.864,-3.659,-1.803,-1.698,16.244,Fuzzy
11,0.5500,16.549,1761.768,-0.335,6.182,-67.165,2.059,67.480,6.516,686018.8,686.02,39080.00,13480.00,1.791,3.949,-4.078,-3.860,-1.667,-1.567,16.552,Fuzzy
12,0.6000,16.856,1758.420,-0.231,6.121,-66.765,2.126,67.079,6.479,680527.6,680.53,39068.81,13468.81,1.777,3.661,-4.261,-4.031,-1.530,-1.435,16.858,Fuzzy
13,0.6500,17.161,1755.091,-0.123,6.065,-66.372,2.188,66.684,6.447,675125.5,675.13,39057.70,13457.70,1.764,3.362,-4.414,-4.173,-1.389,-1.299,17.161,Fuzzy
14,0.7000,17.463,1751.782,-0.012,6.014,-65.984,2.244,66.296,6.419,669811.5,669.81,39046.68,13446.68,1.750,3.054,-4.538,-4.287,-1.245,-1.160,17.463,Fuzzy
15,0.7500,17.763,1748.493,0.101,5.970,-65.603,2.294,65.914,6.395,664584.4,664.58,39035.75,13435.75,1.737,2.739,-4.632,-4.374,-1.099,-1.019,17.763,Fuzzy
16,0.8000,18.060,1745.222,0.217,5.931,-65.228,2.338,65.539,6.375,659444.0,659.44,39024.90,13424.90,1.724,2.418,-4.698,-4.433,-0.951,-0.877,18.061,Fuzzy
17,0.8500,18.356,1741.970,0.335,5.898,-64.858,2.376,65.169,6.358,654389.3,654.39,39014.13,13414.13,1.711,2.095,-4.737,-4.465,-0.802,-0.733,18.359,Fuzzy
18,0.9000,18.650,1738.736,0.455,5.870,-64.495,2.408,64.806,6.345,649420.0,649.42,39003.45,13403.45,1.699,1.770,-4.748,-4.472,-0.653,-0.588,18.655,Fuzzy
19,0.9500,18.943,1735.521,0.576,5.848,-64.137,2.435,64.449,6.334,644535.2,644.54,38992.85,13392.85,1.686,1.445,-4.735,-4.455,-0.503,-0.444,18.952,Fuzzy
20,1.0000,19.235,1732.323,0.698,5.831,-63.786,2.455,64.099,6.327,639734.5,639.73,38982.32,13382.32,1.674,1.124,-4.696,-4.413,-0.354,-0.299,19.247,Fuzzy
21,1.0500,19.526,1729.142,0.821,5.819,-63.440,2.470,63.754,6.322,635017.5,635.02,38971.88,13371.88,1.662,0.808,-4.634,-4.349,-0.205,-0.155,19.543,Fuzzy
